"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"36","CCE","2024-08-01","Munson Creek","MuCr1","C",0,8.5,"Mineral",82,"Rock",6,"Mineral",6,10,NA,"yes","MuCr1C",10.5,5,10.5,11,12.5,12,"SOL is uneven, so sample may contain some mineral",5,5,"Core","Odd organic deposit below m1 and mixed with m2. Bottom 6 cm of mineral core ","","4e6679ca-d165-4b05-ad56-41a42003e1b6,3ec750c6-e573-4cbb-b785-edb4a79cd236"
"37","CCE","2024-08-05","Dry Creek","DrCr2","B",0.1,22,"Mineral",67,"Frozen Ground",37,"Mineral",1,NA,NA,"yes","DrCr2B",25,23.5,10.5,10.5,11,11,"",5,5,"Core","","No at roots visible on nearby trees","793836fd-cf73-4da9-9917-197b84ef0bd5"
"38","CCE","2024-08-03","Teklanika","Tekl3","C",0,21,"Mineral,Rock",51,"Rock",21,"Mineral,Rock",4,5,NA,"yes","Tekl3C",22.5,25,10.5,11.5,9,9.5,"",5,3,"Core","Too rocky to core further","",""
"39","CCE","2024-07-25","Haystack","Hays6","C",NA,26,"Mineral",74,"Rock",19,"Rock",7,6,NA,"yes","Hays6C",21,22,12,11,8,9,"3 cm deep rock removed between organic and mineral ",5,0,"Core","Very rocky and difficult to remove mineral soil samples. Depth of M1 estimate based of hole depth, sample came out in multiple pieces because of rock. Surface contains some organic. No M2 sample because of rock","",""
"40","CCE","2024-07-28","McCoy Creek","McCr1","A",NA,25,"Mineral,Water",57,"Frozen Ground",27,"Mineral,Water",5,3,4,"yes","McCr1A",24,25,12,11,10,9,"Sphagnum, standing water at 20 cm, mineral at 37",5,0,"Grab","Unable to core volumetrically, m1 sample is approximate depth grab sample from core estimated based on hole depth. No m2 sample.","Very wet, standing water while sampling, ar hole depth to mineral",""
"41","CCE","2024-07-14","Haystack","Hays1","B",NA,12,"Mineral",120,"Rock",1.5,"Mineral",6,3,5,"yes","Hays1B",11.5,11,12,12,12,13,"",5,5,"Core","M1 and m2 both 5 cm","",""
"42","CCE","2024-07-14","Haystack","Hays2","B",NA,11,"Mineral",83,"Rock",7,"Mineral",10,13,17,"yes","Hays2B",10,8,10,10,11,11,"",5,5,"Core","M1 and m2 both 5 cm","",""
"43","CCE","2024-08-06","Dry Creek","DrCr4","C",0,11.5,"Mineral",87,"Mineral",7,"Mineral",7,8,5,"yes","DrCr4C",10,10,10,9,9.5,9,"",5,5,"Core","","Really hard packed mineral, hard to get thaw probe through",""
"44","CCE","2024-07-31","Nugget Creek","NuCr6","B",NA,4,"Mineral,Rock",77,"Rock",4,"Mineral",23,21,30,"yes","NuCr6B",3.5,5,10.5,10,11,11,"",7.5,2,"Both","Very rocky below organic, difficult to sample. M1 sample is grab sample of approximately top 7.5 cm, not sampled volumetrically. M2 sample taken below grab sample, 2 cm sampled volumetrically, unable to core deeper due to rock","AR measured on downed tree, measuring depth of AR to bottom of tree roots, depth in AR SOL is burned prefire organic with some mixture of post fire organic and mineral deposition. Depth of char layer alone is 1.5 cm",""
"45","CCE","2024-08-02","Teklanika","Tekl5","B",0,33,"Mineral,Water",81,"Rock",31,"Mineral,Water",12,13,NA,"yes","Tekl5B",33,34,9.5,10,8,8.5,"",7,0,"Grab","No m2. M1 is a grab sample of 7cm. Organic hole filled with water, mineral sample mixed with water, couldn’t be sampled volumetrically","Too wet for labels, rely on paper slips","bd97a4c3-6d85-4eb5-853d-cfcfa834e50f"
"46","CCE","2024-08-06","Dry Creek","DrCr6","C",0,21,"Mineral",101,">100cm",23,"Mineral",7,6,NA,"yes","DrCr6C",20,21.5,10.5,10,9.5,10,"",5,5,"Core","","",""
"47","CCE","2024-07-14","Haystack","Hays3","C",NA,7,"Mineral",82,"Rock",13,"Mineral",12,19,12,"yes","Hays3C",7,7,13,12,8,9,"",5,5,"Core","M1 and m2 5 cm deep","",""
"48","CCE","2024-07-25","Haystack","Hays5","C",NA,7,"Mineral,Rock",66,"Rock",5.5,"Mineral",3,NA,NA,"yes","Hays5C",8,6,7.5,8,14,13,"Ash moss mineral mix at bottom of sample, sample uneven at an angle.",5,5,"Core","M1 sample contains some organic, at interface ","",""
"49","CCE","2024-07-14","Haystack","Hays1","C",NA,3,"Mineral",78,"Frozen Ground",5,"Rock",11,10.5,10,"yes","Hays1C",3,3,8,7,11,11.5,"",5,5,"Core","M1 5, m2 5 cm","",""
"50","CCE","2024-07-28","McCoy Creek","McCr4","A",NA,3,"Mineral",86,"Frozen Ground",5.5,"Mineral",19,17,23,"yes","McCr4A",3.5,4,9.5,10.5,12,12,"Organic primarily char and charred CWD",5,5,"Core","Top of mineral appears mixed with organic, lots of fine roots","",""
"51","CCE","2024-08-03","Teklanika","Tekl2","A",0.5,7.5,"Mineral",70,"Rock",15,"Mineral",16,12,10,"yes","Tekl2A",7,6.5,10,11,10,10,"",5,5,"Core","","","be83b034-dea4-4882-a736-fb2d600998d4"
"52","CCE","2024-07-30","Nugget Creek","NuCr3","C",NA,5,"Mineral",45,"Rock",2,"Mineral",18,16,11,"yes","NuCr3C",6,4,8,9,11,11,"",5,5,"Core","","",""
"53","CCE","2024-07-29","McCoy Creek","McCr6","B",NA,23,"Mineral",61,"Frozen Ground",35,"Mineral",21,12.5,6,"yes","McCr6B",27,24,11,9,11.5,23,"",5,5,"Core","","",""
"54","CCE","2024-08-02","Teklanika","Tekl6","A",0,9.5,"Mineral",38,"Rock",10,"Mineral",5,4.5,10,"yes","Tekl6A",8,8.5,11,11,10,10,"",5,5,"Core","","","c885249a-f8a0-4013-839c-807f33550753"
"55","CCE","2024-08-03","Teklanika","Tekl3","A",0,22,"Mineral,Water,Rock",101,">100cm",27,"Mineral,Water",5,6,7,"yes","Tekl3A",22.5,24,11,11,9,8,"Hit water at 13",9,0,"Core","Coring into water and rock. Sample volumetric, but dicey","",""
"56","CCE","2024-07-28","McCoy Creek","McCr1","C",NA,24,"Mineral,Water",56,"Frozen Ground",34,"Mineral",20,20,7,"yes","McCr1C",23,24,9,9,13,12,"",5,5,"Core","Char in mineral sample! Legacy c!","",""
"57","CCE","2024-08-04","Munson Creek","MuCr5","A",0.1,30,"Mineral",75,"Rock",22,"Mineral",6,7,NA,"yes","MuCr5A",31,34,8,10,9.5,10,"",6,3.5,"Core","M1 very crumbly, both mixed with gravel","",""
"58","CCE","2024-08-03","Teklanika","Tekl2","B",0,9.5,"Mineral",73,"Rock",7,"Mineral",13,10,12,"yes","Tekl2B",9,8.5,10,10,8.5,9.5,"",5,5,"Core","","Sampled at 13.2 because of cwd",""
"59","CCE","2024-08-04","Munson Creek","MuCr4","C",0,36,"Rock",92,"Rock",33,"Mineral,Rock",17,13,28,"yes","MuCr4C",36.5,36.5,9,10.5,9.5,11,"",6.5,6.5,"Core","Top of mineral had organic soil plus large sand/gravel. Volumetric core taken to 13cm, but sample totally non consolidated, so fell apart immediately. Split in half for m1 and :2 ","","187f5313-0e62-4baf-a6f8-dcb6f3f5845a"
