"","project","date","fire_scar","ID","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"234","CCE","2024-08-04","Munson Creek",234,"MuCr4C",NA,NA,NA,NA,NA,NA,NA,"M2",6.5,"Core","Top of mineral had organic soil plus large sand/gravel. Volumetric core taken to 13cm, but sample totally non consolidated, so fell apart immediately. Split in half for m1 and :2 ",""
"235","CCE","2024-08-04","Munson Creek",235,"MuCr5A",31,34,8,10,9.5,10,"","O",NA,NA,NA,""
"236","CCE","2024-08-04","Munson Creek",236,"MuCr5A",NA,NA,NA,NA,NA,NA,NA,"M1",6,"Core","M1 very crumbly, both mixed with gravel",""
"237","CCE","2024-08-04","Munson Creek",237,"MuCr5A",NA,NA,NA,NA,NA,NA,NA,"M2",3.5,"Core","M1 very crumbly, both mixed with gravel",""
"238","CCE","2024-08-04","Munson Creek",238,"MuCr5B",29,27,9.5,10,9,9.5,"","O",NA,NA,NA,""
"239","CCE","2024-08-04","Munson Creek",239,"MuCr5B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"240","CCE","2024-08-04","Munson Creek",240,"MuCr5B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"241","CCE","2024-08-04","Munson Creek",241,"MuCr5C",17,19,10,11,10,9.5,"","O",NA,NA,NA,""
"242","CCE","2024-08-04","Munson Creek",242,"MuCr5C",NA,NA,NA,NA,NA,NA,NA,"M1",14.5,"Core","Mineral extremely gravelly, fell apart after removing from corer, all in M1",""
"243","CCE","2024-07-30","Nugget Creek",243,"NuCr1A",7,5,8.5,9,8,8,"","O",NA,NA,NA,""
"244","CCE","2024-07-30","Nugget Creek",244,"NuCr1A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","Top 2 cm mineral mixed with organic but clearly mineral",""
"245","CCE","2024-07-30","Nugget Creek",245,"NuCr1A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","Top 2 cm mineral mixed with organic but clearly mineral",""
"246","CCE","2024-07-30","Nugget Creek",246,"NuCr1B",5,3,10.5,10,10,10,"","O",NA,NA,NA,"Sample surface polytrichum. Organic depths include green moss and brown moss."
"247","CCE","2024-07-30","Nugget Creek",247,"NuCr1B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","M1 includes mixed organic and some char","Sample surface polytrichum. Organic depths include green moss and brown moss."
"248","CCE","2024-07-30","Nugget Creek",248,"NuCr1B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","M1 includes mixed organic and some char","Sample surface polytrichum. Organic depths include green moss and brown moss."
"249","CCE","2024-07-30","Nugget Creek",249,"NuCr1C",7,8,9,11,10,10.5,"Bottom 1 cm organic came off with mineral core in its own bag for processing","O",NA,NA,NA,""
"250","CCE","2024-07-30","Nugget Creek",250,"NuCr1C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Both","0.5 cm rock removed between the upper 2 and lower 3 cm of M2 sample",""
"251","CCE","2024-07-30","Nugget Creek",251,"NuCr1C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Both","0.5 cm rock removed between the upper 2 and lower 3 cm of M2 sample",""
"252","CCE","2024-07-30","Nugget Creek",252,"NuCr2A",31,30,9,6,11.5,9,"","O",NA,NA,NA,"Sampled at 3.1 m due to CWD, unable to sample mineral because too rocky."
"253","CCE","2024-07-30","Nugget Creek",253,"NuCr2B",39,39,11,10,9,8,"","O",NA,NA,NA,"Sampling at unburned sphagnum at 3m. M1 sample came off of bottom of organic sample, depth is estimated length and width are same dimensions as brownie. M2 sample taken as core below"
"254","CCE","2024-07-30","Nugget Creek",254,"NuCr2B",NA,NA,NA,NA,NA,NA,NA,"M1",4.5,"Both","","Sampling at unburned sphagnum at 3m. M1 sample came off of bottom of organic sample, depth is estimated length and width are same dimensions as brownie. M2 sample taken as core below"
"255","CCE","2024-07-30","Nugget Creek",255,"NuCr2B",NA,NA,NA,NA,NA,NA,NA,"M2",4.5,"Both","","Sampling at unburned sphagnum at 3m. M1 sample came off of bottom of organic sample, depth is estimated length and width are same dimensions as brownie. M2 sample taken as core below"
"256","CCE","2024-07-30","Nugget Creek",256,"NuCr2C",17,18,8,5,9.5,9,"","O",NA,NA,NA,"0.1m off transect to avoid cwd"
"257","CCE","2024-07-30","Nugget Creek",257,"NuCr2C",NA,NA,NA,NA,NA,NA,NA,"M1",4,"Core","M1 sample came off of bottom of organic sample, depth is estimated. Length and width are same dimensions as brownie. M2 sample taken as core below Very top of m1 mixed with organic, no m2 sample because too rocky to core. M1 was uneven, 5cm and 4cm","0.1m off transect to avoid cwd"
"258","CCE","2024-07-30","Nugget Creek",258,"NuCr3A",11,9,11,11.5,10,9.5,"","O",NA,NA,NA,"SOL depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"259","CCE","2024-07-30","Nugget Creek",259,"NuCr3A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","SOL depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"260","CCE","2024-07-30","Nugget Creek",260,"NuCr3A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","SOL depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"261","CCE","2024-07-30","Nugget Creek",261,"NuCr3B",7,5,9,8,11,10,"","O",NA,NA,NA,"Depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"262","CCE","2024-07-30","Nugget Creek",262,"NuCr3B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"263","CCE","2024-07-30","Nugget Creek",263,"NuCr3B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Depths include green moss (polytrichum) for sample, AR SOL depth does not include green moss"
"264","CCE","2024-07-30","Nugget Creek",264,"NuCr3C",6,4,8,9,11,11,"","O",NA,NA,NA,""
"265","CCE","2024-07-30","Nugget Creek",265,"NuCr3C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"266","CCE","2024-07-30","Nugget Creek",266,"NuCr3C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"267","CCE","2024-07-31","Nugget Creek",267,"NuCr4A",35,34,10,6,11.5,10,"Organic sample difficult to remove due to roots, bottom very crumbly","O",NA,NA,NA,""
"268","CCE","2024-07-31","Nugget Creek",268,"NuCr4A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"269","CCE","2024-07-31","Nugget Creek",269,"NuCr4A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"270","CCE","2024-07-31","Nugget Creek",270,"NuCr4B",17,14,10,7,10,11,"Very crumbly bottom of sample, fell apart while sampling","O",NA,NA,NA,""
"271","CCE","2024-07-31","Nugget Creek",271,"NuCr4B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"272","CCE","2024-07-31","Nugget Creek",272,"NuCr4B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"273","CCE","2024-07-31","Nugget Creek",273,"NuCr4C",7,5,10,12,9,10,"","O",NA,NA,NA,""
"274","CCE","2024-07-31","Nugget Creek",274,"NuCr4C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"275","CCE","2024-07-31","Nugget Creek",275,"NuCr4C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"276","CCE","2024-07-31","Nugget Creek",276,"NuCr5A",6,5,7.5,7.5,9,9.5,"","O",NA,NA,NA,"1.5 cm rock removed between organic and mineral, AR SOL depth does not include green moss, transect SOL does (polytrichum)"
"277","CCE","2024-07-31","Nugget Creek",277,"NuCr5A",NA,NA,NA,NA,NA,NA,NA,"M1",3,"Grab","M1 sample is grab sample, approximated depth and volume using corer but unable to remove an intact core. Not measured exactly volumetrically and contains rocks.","1.5 cm rock removed between organic and mineral, AR SOL depth does not include green moss, transect SOL does (polytrichum)"
"278","CCE","2024-07-31","Nugget Creek",278,"NuCr5A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Grab","M1 sample is grab sample, approximated depth and volume using corer but unable to remove an intact core. Not measured exactly volumetrically and contains rocks.","1.5 cm rock removed between organic and mineral, AR SOL depth does not include green moss, transect SOL does (polytrichum)"
"279","CCE","2024-07-31","Nugget Creek",279,"NuCr5B",3,2,10,8.5,9,9,"","O",NA,NA,NA,"1 cm rock between organic and mineral removed while sampling, AR depths taken on downed tree to bottom of tree roots"
"280","CCE","2024-07-31","Nugget Creek",280,"NuCr5B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Both","M1 sample is volumetric, M2 sample is grab sample using area of corer but unable to get intact core due to rocks and crumbly soil. M2 depth is estimated and not sampled volumetrically","1 cm rock between organic and mineral removed while sampling, AR depths taken on downed tree to bottom of tree roots"
"281","CCE","2024-07-31","Nugget Creek",281,"NuCr5B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Both","M1 sample is volumetric, M2 sample is grab sample using area of corer but unable to get intact core due to rocks and crumbly soil. M2 depth is estimated and not sampled volumetrically","1 cm rock between organic and mineral removed while sampling, AR depths taken on downed tree to bottom of tree roots"
"282","CCE","2024-07-31","Nugget Creek",282,"NuCr5C",7,9,7,8,10,10,"","O",NA,NA,NA,"No standing AR tree, measuring AR depths from AR roots to remaining soil on roots or to the bottom of large exposed stabilizing root if no soil is remaining on roots. AR soil depth same hole as transect, not including green moss"
"283","CCE","2024-07-31","Nugget Creek",283,"NuCr5C",NA,NA,NA,NA,NA,NA,NA,"M1",7,"Grab","Too rocky and crumbly to core volumetrically, grab sample of mineral to 7 cm depth ","No standing AR tree, measuring AR depths from AR roots to remaining soil on roots or to the bottom of large exposed stabilizing root if no soil is remaining on roots. AR soil depth same hole as transect, not including green moss"
"284","CCE","2024-07-31","Nugget Creek",284,"NuCr6A",8,3.5,13,12,11,11,"","O",NA,NA,NA,"AR depth measured on downed tree to bottom of roots, OL depth doesn’t include green moss"
"285","CCE","2024-07-31","Nugget Creek",285,"NuCr6A",NA,NA,NA,NA,NA,NA,NA,"M1",10,"Both","Very rocky below organic, m1 is a grab sample of 10 cm of mineral rock mix, m2 is a volumetric sample of core taken below this mixture ","AR depth measured on downed tree to bottom of roots, OL depth doesn’t include green moss"
"286","CCE","2024-07-31","Nugget Creek",286,"NuCr6A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Both","Very rocky below organic, m1 is a grab sample of 10 cm of mineral rock mix, m2 is a volumetric sample of core taken below this mixture ","AR depth measured on downed tree to bottom of roots, OL depth doesn’t include green moss"
"287","CCE","2024-07-31","Nugget Creek",287,"NuCr6B",3.5,5,10.5,10,11,11,"","O",NA,NA,NA,"AR measured on downed tree, measuring depth of AR to bottom of tree roots, depth in AR SOL is burned prefire organic with some mixture of post fire organic and mineral deposition. Depth of char layer alone is 1.5 cm"
