date,fire_scar,site,plot,CollectionID,location (m),green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,general_notes,sample_photo
8/8/25,Isom,ISOM5,B,ISOM5B3,3,0,15,Mineral,101,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM5,B,ISOM5B6,6,0.1,15,Mineral,67,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM5,B,ISOM5B9,9,0,11.5,Mineral,90,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR3,C,YUCR3C3,3,10,36,Mineral,92,Frozen Ground,21,Mineral,14,12,12,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR3,C,YUCR3C9,9,0.1,12,Mineral,120,>100cm,12,Mineral,34,18,9,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR3,C,YUCR3C6,6,0,18.5,Mineral,75,Frozen Ground,4,Mineral,5,10,10,yes,C6,18,18.5,10,11,10,10.5,,NA,5,5,5,5,Core,,,NA
7/31/25,Globe,GLOB2,C,GLOB2C6,6,0,19.5,Mineral,41,Frozen Ground,17,Mineral,5,3,1,yes,C6,19.5,19.5,9.5,9.5,10,10.5,,NA,5,NA,5,NA,Core,,,NA
7/31/25,Globe,GLOB2,C,GLOB2C3,3,0,34,"Ice,Water",34,"Frozen Ground,Ice",22,"Mineral,Water",3,4,3,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/31/25,Globe,GLOB2,C,GLOB2C9,9,0,25,"Mineral,Water",40,Frozen Ground,30,"Mineral,Water",4,4,4,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR3,A,YUCR3A3,3,1,4,Mineral,120,Frozen Ground,16,Mineral,15,24,23,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR3,A,YUCR3A9,9,0,25,Mineral,54,Frozen Ground,19,Mineral,11,13,17,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR3,A,YUCR3A6,6,0,19.5,Mineral,48,Frozen Ground,21,Mineral,19,9.5,18,yes,A6,19.5,19,10,10,10,11,,NA,5,5,5,5,Core,,,NA
8/3/25,Chitanana,CHIT1,C,CHIT1C3,3,0,17,Mineral,55,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT1,C,CHIT1C6,6,0,18,Mineral,51,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT1,C,CHIT1C9,9,0.1,24.5,Mineral,58,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/25/25,McDonald,MCDO3,C,MCDO3C3,3,0.1,10.5,Rock,110,Frozen Ground,10.5,Mineral,19,21,17,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/25/25,McDonald,MCDO3,C,MCDO3C6,6,0,13,Mineral,110,Frozen Ground,22,"Mineral,Water",6,7,6,yes,McDo3 c,12.5,13,10,10,9.5,10,,NA,5,5,5,5,Core,,,NA
7/25/25,McDonald,MCDO3,C,MCDO3C9,9,0,17,Mineral,110,>100cm,10,Mineral,9,9,12,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/27/25,Slate,SLAT5,A,SLAT5A6,6,0,0,Mineral,90,Mineral,0,Mineral,20,21.5,20,yes,A6,7.5,8.5,10.5,11,10.5,10.5,Taken at 4m because there was no organic at 6,NA,5,5,5,5,Core,Taken at 4m,,NA
7/27/25,Slate,SLAT5,A,SLAT5A3,3,0,0,Mineral,110,>100cm,0,Mineral,26.5,18.5,27,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/27/25,Slate,SLAT5,A,SLAT5A9,9,0.5,0,Mineral,110,>100cm,0,Mineral,15,11,11.5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT2,B,SLAT2B6,6,0,7.5,Mineral,64,Frozen Ground,13.5,Mineral,19,20.5,19,yes,B6,7.5,7,9,9.5,10,10.5,,NA,5,5,5,5,Core,,,NA
7/26/25,Slate,SLAT2,B,SLAT2B9,9,0,17.5,Mineral,56,Frozen Ground,11,Mineral,17,18,13.5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT2,B,SLAT2B3,3,0.5,12,Mineral,63,Frozen Ground,11,Mineral,10.5,13,15,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM1,B,ISOM1B3,3,0,16,Mineral,118,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM1,B,ISOM1B6,6,0,21.5,Mineral,115,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/8/25,Isom,ISOM1,B,ISOM1B9,9,0,14.5,Mineral,92,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/21/25,Aggie,AGCR1,C,AGCR1C3,3,6,9,"Mineral,Rock",71,Rock,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT3,B,CHIT3B3,3,0,42,Frozen Ground,42,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT3,B,CHIT3B6,6,0,40,Frozen Ground,40,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT3,B,CHIT3B9,9,0,45,Frozen Ground,45,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/2/25,Troublesome,TROU1,C,TROU1C3,3,0,14,"Mineral,Rock",30,Rock,14,Mineral,12,16,12,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/2/25,Troublesome,TROU1,C,TROU1C6,6,0.1,8.5,Mineral,2.4,Rock,6,"Mineral,Rock",9,11,15,yes,C6,8,9,9.5,10,9,8.5,,NA,5,NA,5,NA,Core,,,NA
8/2/25,Troublesome,TROU1,C,TROU1C9,9,0.1,12,"Mineral,Rock",21,Rock,15,"Mineral,Rock",8,7,12,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/27/25,Slate,SLAT4,A,SLAT4A3,3,0.5,0,Mineral,110,>100cm,0.5,Mineral,20,22,17.5,yes,A6,NA,NA,NA,NA,NA,NA,,NA,5,NA,5,NA,Core,,,NA
7/27/25,Slate,SLAT4,A,SLAT4A6,6,0.5,0,Mineral,40,Rock,0,Mineral,18,19.5,22,yes,A6,5,4.5,10,10,9,9,At roughly 5m and further than 1m away horizontally from transect,NA,5,5,5,5,Core,,,NA
7/27/25,Slate,SLAT4,A,SLAT4A9,9,0.5,0,Mineral,99,Rock,0,Mineral,24,26,28.5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/5/25,Troublesome,TROU4,C,TROU4C3,3,0,25,Mineral,52,Frozen Ground,32,Mineral,3,5,2,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/5/25,Troublesome,TROU4,C,TROU4C6,6,0,12,Mineral,69,Rock,25,Mineral,10,6,12,yes,C6,12,12.5,10,10,10,10.5,,NA,5,5,5,5,Core,,,NA
8/5/25,Troublesome,TROU4,C,TROU4C9,9,0.1,28,Mineral,48,Rock,30,Mineral,4,4,6,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR2,B,YUCR2B6,6,0,6,Root,96,Rock,2,Mineral,15.5,17,14.5,yes,B6,5,7,10,10,10,9.5,,NA,5,5,5,5,Core,,,NA
8/1/25,Yukon Creek,YUCR2,B,YUCR2B3,3,0,17,Mineral,120,>100cm,2,Mineral,22,24.5,26,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/1/25,Yukon Creek,YUCR2,B,YUCR2B9,9,0.5,9,Mineral,120,>100cm,6.5,Mineral,18,20,14,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/27/25,Slate,SLAT4,C,SLAT4C3,3,0.5,0,Mineral,98,"Frozen Ground,Mineral",0,Mineral,19.5,20,15,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/27/25,Slate,SLAT4,C,SLAT4C6,6,0,0,Mineral,99,Mineral,0,Mineral,14,13.5,17,yes,C6,5.5,6,10,10,9.5,9,,NA,5,5,5,5,Core,,,NA
