date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,0.7,NA,NA,100,100,75,0,4,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,3.8,NA,0,25,25,0,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,5.7,NA,0,25,25,0,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,1.8,NA,50,50,25,0,6,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,1.8,NA,0,50,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,yes,4.6,NA,NA,NA,NA,NA,25,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,0.4,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,0.2,NA,100,100,100,50,2,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,1.1,NA,25,75,75,25,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,6.9,NA,0,50,25,25,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,yes,NA,2,NA,NA,NA,NA,25,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,no,no,NA,1.3,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,0.5,NA,NA,50,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,1,NA,50,50,25,0,2,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,1.3,NA,0,25,25,0,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,2.1,NA,50,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,1.1,NA,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,0.6,NA,100,100,100,25,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,1.5,NA,75,50,75,50,2,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,NA,2,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,0.4,NA,NA,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,A,black spruce,yes,no,3.6,NA,0,25,0,0,0,NA,,,
