"","project","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","livedead","tree_notes"
"665","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",4.7,NA,0,75,75,50,0,"dead",""
"666","CCE","2024-07-29","McCoy Creek","McCr5","C","black spruce","yes","no",3.6,NA,0,100,100,75,0,"dead",""
"667","CCE","2024-07-14","Haystack","Hays2","A","black spruce","yes","no",9.4,NA,NA,50,25,0,0,"dead",""
"668","CCE","2024-07-14","Haystack","Hays2","A","black spruce","yes","no",NA,2.2,NA,75,75,50,0,"dead",""
"669","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",7.9,NA,100,75,75,75,0,"dead",""
"670","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",2.4,NA,NA,100,100,75,0,"dead",""
"671","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",5.5,NA,25,25,25,25,0,"dead",""
"672","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","yes",3.5,NA,NA,100,100,100,50,"dead",""
"673","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",6.3,NA,100,100,100,75,0,"dead",""
"674","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",5,NA,NA,75,75,50,0,"dead","Topped"
"675","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",7.6,NA,25,50,25,0,0,"dead",""
"676","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","yes",6.4,NA,NA,NA,NA,100,50,"dead",""
"677","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",6.4,NA,50,100,100,75,0,"dead",""
"678","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",6.3,NA,75,100,100,75,0,"dead",""
"679","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",6.3,NA,75,100,100,75,0,"dead",""
"680","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",4.7,NA,NA,100,100,100,25,"dead",""
"681","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",4.7,NA,NA,100,100,100,25,"dead",""
"682","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","yes","no",7,NA,75,100,100,100,0,"dead",""
"683","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","yes","no",5.3,NA,NA,100,100,100,25,"dead",""
"684","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",6.9,NA,50,100,100,75,25,"dead",""
"685","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",0.3,NA,25,0,0,0,0,"dead",""
"686","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","yes",5.1,NA,NA,100,100,100,25,"dead",""
"687","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",6.5,NA,25,75,75,25,0,"dead",""
"688","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",6.5,NA,25,75,75,25,0,"dead",""
"689","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",5.2,NA,NA,100,100,75,0,"dead",""
"690","CCE","2024-07-28","McCoy Creek","McCr4","C","black spruce","no","no",4.9,NA,75,100,75,50,0,"dead",""
"691","CCE","2024-07-18","Haystack","LoHo6","B","black spruce","yes","no",10.6,NA,0,25,25,0,0,"dead",""
"692","CCE","2024-07-18","Haystack","LoHo6","B","black spruce","yes","no",5.8,NA,NA,50,50,0,0,"dead","Topped"
"693","CCE","2024-07-18","Haystack","LoHo6","B","black spruce","yes","no",2.2,NA,NA,0,0,0,0,"dead",""
"694","CCE","2024-07-14","Haystack","Hays3","C","black spruce","yes","no",4.6,NA,50,75,75,25,0,"dead",""
"695","CCE","2024-07-14","Haystack","Hays3","C","black spruce","yes","no",3.6,NA,75,100,100,50,0,"dead",""
"696","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",NA,1.1,NA,0,0,0,0,"dead",""
"697","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",NA,NA,NA,0,0,0,0,"dead","Half burned"
"698","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",3.2,NA,NA,0,0,0,0,"dead","Half burned"
"699","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",2,NA,NA,0,0,0,0,"dead","Half burned"
"700","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",5.7,NA,0,0,0,0,0,"dead",""
"701","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",6.7,NA,0,0,0,0,0,"dead",""
"702","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",NA,0.4,NA,0,0,0,0,"dead",""
"703","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",2.4,NA,0,0,0,0,0,"dead",""
"704","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",NA,0.6,0,0,0,0,0,"dead",""
"705","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",NA,0.6,0,0,0,0,0,"dead",""
"706","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",NA,0.6,0,0,0,0,0,"dead",""
"707","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",8,NA,NA,75,50,0,0,"dead","Top off"
"708","CCE","2024-07-18","Lost Horse","LoHo4","C","black spruce","yes","no",1.3,NA,NA,75,75,50,0,"dead",""
"709","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","no",7.1,NA,50,25,25,0,0,"dead",""
"710","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","no","yes",8.7,NA,NA,NA,NA,NA,50,"dead",""
"711","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","yes",8.7,NA,NA,NA,NA,NA,50,"dead",""
"712","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","no",NA,1.7,100,100,100,100,0,"dead",""
"713","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","no",NA,1.7,100,100,100,100,0,"dead",""
"714","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","no",10.3,NA,100,100,100,75,0,"dead",""
"715","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","no",6.9,NA,100,100,100,25,0,"dead",""
"716","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","no",8.8,NA,50,100,100,50,0,"dead",""
"717","CCE","2024-08-05","Dry Creek","DrCr1","A","black spruce","yes","yes",3.1,NA,NA,NA,NA,NA,50,"dead",""
"718","CCE","2024-07-15","Lost Horse","LoHo1","A","black spruce","yes","no",NA,1.9,NA,25,25,0,0,"dead",""
"719","CCE","2024-07-15","Lost Horse","LoHo1","A","black spruce","yes","no",NA,1.2,NA,100,100,100,0,"dead",""
"720","CCE","2024-07-15","Lost Horse","LoHo1","A","black spruce","yes","no",1.6,NA,0,75,75,75,0,"dead",""
"721","CCE","2024-07-15","Lost Horse","LoHo1","A","black spruce","yes","yes",NA,3.3,NA,NA,NA,NA,75,"dead","Topped"
"722","CCE","2024-07-15","Lost Horse","LoHo1","A","black spruce","yes","no",6.9,NA,NA,100,75,25,0,"dead","Topped"
"723","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",NA,2.9,NA,0,0,0,0,"dead",""
"724","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",NA,1.4,NA,0,0,0,0,"dead",""
"725","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",3.3,NA,25,50,25,0,0,"dead",""
"726","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",1.2,NA,NA,0,0,0,0,"dead",""
"727","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",6.8,NA,25,75,50,25,0,"dead",""
"728","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",1.8,NA,NA,0,0,0,0,"dead",""
"729","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",2.3,NA,0,0,0,0,0,"dead",""
"730","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",3.8,NA,0,0,0,0,0,"dead",""
"731","CCE","2024-07-18","Lost Horse","LoHo5","A","black spruce","yes","no",2.6,NA,NA,0,0,0,0,"dead",""
"732","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",NA,1.6,NA,0,0,0,0,"dead",""
"733","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",14.2,NA,NA,25,25,0,0,"dead","Topped"
"734","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",13,NA,25,25,0,0,0,"dead",""
"735","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",NA,2,NA,0,0,0,0,"dead",""
"736","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",0.8,NA,NA,0,0,0,0,"dead",""
"737","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",0.6,NA,NA,0,0,0,0,"dead",""
"738","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",1.4,NA,0,0,0,0,0,"dead",""
"739","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",NA,2.7,NA,25,25,0,0,"dead",""
"740","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",1,NA,NA,0,0,0,0,"dead",""
"741","CCE","2024-07-25","Haystack","Hays4","C","black spruce","yes","no",1.8,NA,NA,0,0,0,0,"dead",""
"742","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",7.3,NA,100,100,100,100,0,"dead",""
"743","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",5.7,NA,NA,NA,NA,75,25,"dead","Toppe"
"744","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",NA,1.8,NA,100,100,100,0,"dead",""
"745","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",NA,3,NA,NA,NA,100,0,"dead","Topped"
"746","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",4.3,NA,100,100,100,75,0,"dead",""
"747","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",6.7,NA,100,100,100,100,0,"dead",""
"748","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",7.1,NA,100,100,100,75,0,"dead",""
"749","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","yes",2.8,NA,NA,NA,NA,100,0,"dead",""
"750","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",8,NA,100,100,100,75,0,"dead",""
"751","CCE","2024-08-03","Teklanika","Tekl2","A","black spruce","no","no",6.7,NA,NA,100,100,50,0,"dead","Topped"
"752","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","yes",3.9,NA,NA,NA,NA,100,0,"dead",""
"753","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",NA,1.7,NA,100,100,75,0,"dead",""
"754","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",NA,1.7,NA,100,100,100,0,"dead",""
"755","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",1.8,NA,NA,100,100,75,0,"dead",""
"756","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","no","no",NA,1.2,NA,100,100,100,0,"dead",""
"757","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",0.6,NA,NA,100,100,100,0,"dead",""
"758","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",4.7,NA,100,100,100,75,0,"dead",""
"759","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",NA,1.3,NA,100,100,100,0,"dead",""
"760","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",NA,1.3,NA,100,100,100,0,"dead",""
"761","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",2,NA,NA,100,100,75,0,"dead",""
"762","CCE","2024-08-05","Dry Creek","DrCr3","A","black spruce","yes","no",2,NA,NA,100,100,75,0,"dead",""
