"","date","fire_scar","site","plot","location","site_notes","resprouts_present","resprout_species","resprout_count","resprout_notes","r_bd1","r_bd2"
"56","2024-07-15","Lost Horse","LoHo2","B","9 m","","no",NA,NA,NA,NA,NA
"57","2024-07-14","Haystack","Hays2","B","3 m","","no",NA,NA,NA,NA,NA
"58","2024-07-17","Shovel Creek","ShCr6","B","6 m","","no",NA,NA,NA,NA,NA
"59","2024-07-22","Hess Creek","HeCr2","C","9 m","","no",NA,NA,NA,NA,NA
"60","2024-07-22","Hess Creek","HeCr1","B","3 m","","no",NA,NA,NA,NA,NA
"61","2024-07-31","Nugget Creek","NuCr4","A","6 m","","no",NA,NA,NA,NA,NA
"62","2024-07-28","McCoy Creek","McCr4","A","6 m","","no",NA,NA,NA,NA,NA
"63","2024-08-06","Dry Creek","DrCr5","B","6 m","","no",NA,NA,NA,NA,NA
"64","2024-08-06","Dry Creek","DrCr5","C","3 m","","no",NA,NA,NA,NA,NA
"65","2024-07-25","Haystack","Hays4","C","6 m","","no",NA,NA,NA,NA,NA
"66","2024-07-15","Lost Horse","LoHo1","B","9 m","","no",NA,NA,NA,NA,NA
"67","2024-08-02","Teklanika ","Tekl6","A","3 m","","no",NA,NA,NA,NA,NA
"68","2024-07-18","Lost Horse","LoHo6","A","9 m","","no",NA,NA,NA,NA,NA
"69","2024-07-14","Haystack","Hays2","A","6 m","","no",NA,NA,NA,NA,NA
"70","2024-07-25","Haystack","Hays4","B","6 m","","no",NA,NA,NA,NA,NA
"71","2024-07-30","Nugget Creek","NuCr3","B","6 m","","no",NA,NA,NA,NA,NA
"72","2024-07-31","Nugget Creek","NuCr5","A","6 m","","no",NA,NA,NA,NA,NA
"73","2024-07-16","Shovel Creek","ShCr3","C","6 m","","no",NA,NA,NA,NA,NA
"74","2024-08-07","McCoy Creek","McCr3","A","6 m","","no",NA,NA,NA,NA,NA
"75","2024-07-23","Hess Creek","HeCr6","B","6 m","","no",NA,NA,NA,NA,NA
"76","2024-07-18","Lost Horse","LoHo6","A","3 m","","no",NA,NA,NA,NA,NA
"77","2024-07-17","Shovel Creek","ShCr5","C","3 m","","no",NA,NA,NA,NA,NA
"78","2024-07-18","Lost Horse","LoHo6","C","6 m","","no",NA,NA,NA,NA,NA
"79","2024-08-02","Teklanika ","Tekl5","B","3 m","","no",NA,NA,NA,NA,NA
"80","2024-07-15","Lost Horse","LoHo1","A","6 m","","no",NA,NA,NA,NA,NA
"81","2024-07-30","Nugget Creek","NuCr1","A","6 m","","no",NA,NA,NA,NA,NA
"82","2024-07-16","Shovel Creek","ShCr2","B","3 m","","no",NA,NA,NA,NA,NA
"83","2024-07-25","Haystack","Hays6","C","3 m","","no",NA,NA,NA,NA,NA
"84","2024-07-16","Shovel Creek","ShCr3","A","6 m","","no",NA,NA,NA,NA,NA
"85","2024-07-17","Shovel Creek","ShCr5","C","9 m","","no",NA,NA,NA,NA,NA
"86","2024-07-25","Haystack","Hays4","C","9 m","","no",NA,NA,NA,NA,NA
"87","2024-08-03","Teklanika ","Tekl2","C","6 m","","no",NA,NA,NA,NA,NA
"88","2024-07-16","Shovel Creek","ShCr4","A","6 m","","no",NA,NA,NA,NA,NA
"89","2024-07-28","McCoy Creek","McCr1","B","3 m","","no",NA,NA,NA,NA,NA
"90","2024-07-15","Lost Horse","LoHo3","B","6 m","","no",NA,NA,NA,NA,NA
"91","2024-07-22","Shovel Creek","ShCr6","C","6 m","","no",NA,NA,NA,NA,NA
"92","2024-07-17","Shovel Creek","ShCr6","C","9 m","","no",NA,NA,NA,NA,NA
"93","2024-08-02","Teklanika ","Tekl4","A","3 m","","no",NA,NA,NA,NA,NA
"94","2024-07-16","Shovel Creek","ShCr2","C","9 m","","no",NA,NA,NA,NA,NA
"95","2024-08-01","Munson Creek","MuCr3","C","6 m","","no",NA,NA,NA,NA,NA
"96","2024-08-02","Teklanika ","Tekl4","C","3 m","","no",NA,NA,NA,NA,NA
"97","2024-07-18","Lost Horse","LoHo4 ","C","3 m","","no",NA,NA,NA,NA,NA
"98","2024-07-18","Lost Horse","LoHo4 ","B","6 m","","no",NA,NA,NA,NA,NA
"99","2024-08-06","Dry Creek","DrCr4","A","6 m","","no",NA,NA,NA,NA,NA
"100","2024-07-25","Haystack","Hays4","A","9 m","","no",NA,NA,NA,NA,NA
"101","2024-07-22","Hess Creek","HeCr3","A","9 m","","no",NA,NA,NA,NA,NA
"102","2024-08-02","Teklanika ","Tekl6","B","6 m","","no",NA,NA,NA,NA,NA
"103","2024-08-01","Munson Creek","MuCr1","C","6 m","","no",NA,NA,NA,NA,NA
"104","2024-07-25","Haystack","Hays5","C","6 m","","no",NA,NA,NA,NA,NA
"105","2024-08-02","Teklanika ","Tekl5","A","6 m","","no",NA,NA,NA,NA,NA
"106","2024-07-22","Hess Creek","HeCr3","B","9 m","","no",NA,NA,NA,NA,NA
"107","2024-07-22","Hess Creek","HeCr2","A","6 m","","no",NA,NA,NA,NA,NA
"108","2024-07-23","Hess Creek","HeCr5","C","3 m","","no",NA,NA,NA,NA,NA
"109","2024-07-25","Haystack","Hays4","A","6 m","","no",NA,NA,NA,NA,NA
"110","2024-07-31","Nugget Creek","NuCr6","B","3 m","","no",NA,NA,NA,NA,NA
"111","2024-08-01","Munson Creek","MuCr2","B","9 m","","no",NA,NA,NA,NA,NA
"112","2024-08-07","McCoy Creek","McCr3","B","6 m","","no",NA,NA,NA,NA,NA
"113","2024-07-15","Lost Horse","LoHo1","A","9 m","","no",NA,NA,NA,NA,NA
"114","2024-07-16","Shovel Creek","ShCr1","B","9 m","","no",NA,NA,NA,NA,NA
"115","2024-07-17","Shovel Creek","ShCr5","C","6 m","","no",NA,NA,NA,NA,NA
"116","2024-07-23","Hess Creek","HeCr5","B","3 m","","no",NA,NA,NA,NA,NA
"117","2024-07-14","Haystack","Hays3","C","9 m","","no",NA,NA,NA,NA,NA
"118","2024-07-18","Lost Horse","LoHo4 ","A","6 m","","no",NA,NA,NA,NA,NA
"119","2024-07-15","Lost Horse","LoHo3","A","3 m","","no",NA,NA,NA,NA,NA
"120","2024-07-18","Lost Horse","LoHo4 ","B","3 m","","no",NA,NA,NA,NA,NA
"121","2024-07-14","Haystack","Hays3","C","9 m","","no",NA,NA,NA,NA,NA
"122","2024-08-05","Dry Creek","DrCr1","C","6 m","Betula neoalaskana seedlings barely beginning to sprout so unclear whether neoalaskana or nana. Seedlings as pictured in photo under plants section.","no",NA,NA,NA,NA,NA
"123","2024-07-14","Haystack","Hays1","C","3 m","","no",NA,NA,NA,NA,NA
"124","2024-07-14","Haystack","Hays1","A","3 m","","no",NA,NA,NA,NA,NA
"125","2024-07-16","Shovel Creek","ShCr1","B","6 m","","no",NA,NA,NA,NA,NA
"126","2024-07-25","Haystack","Hays5","A","6 m","","no",NA,NA,NA,NA,NA
"127","2024-07-16","Shovel Creek","ShCr3","C","3 m","","no",NA,NA,NA,NA,NA
"128","2024-07-28","McCoy Creek","McCr4","C","3 m","Spruce spp unclear, too small to tell","no",NA,NA,NA,NA,NA
"129","2024-07-30","Nugget Creek","NuCr1","B","3 m","","no",NA,NA,NA,NA,NA
"130","2024-08-01","Munson Creek","MuCr1","A","9 m","Quadrat placed at 9m only to capture seedlings. No other data gathered at this spot. ","no",NA,NA,NA,NA,NA
"131","2024-08-05","Dry Creek","DrCr1","B","6 m","","no",NA,NA,NA,NA,NA
"132","2024-08-01","Munson Creek","MuCr3","B","6 m","","no",NA,NA,NA,NA,NA
"133","2024-07-22","Hess Creek","HeCr2","B","9 m","","no",NA,NA,NA,NA,NA
"134","2024-08-01","Munson Creek","MuCr1","A","3 m","","no",NA,NA,NA,NA,NA
"135","2024-07-23","Hess Creek","HeCr5","A","9 m","","no",NA,NA,NA,NA,NA
"136","2024-07-16","Shovel Creek","ShCr1","A","6 m","","no",NA,NA,NA,NA,NA
"137","2024-08-04","Munson Creek","MuCr4","A","6 m","","no",NA,NA,NA,NA,NA
