"","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","count","livedead","tree_notes"
"209","2024-08-06","Dry Creek","DrCr4","C","black spruce","yes","no",NA,1.5,NA,100,100,50,0,NA,"",""
"210","2024-08-06","Dry Creek","DrCr4","C","black spruce","yes","no",2.1,NA,NA,75,75,25,0,NA,"",""
"211","2024-08-06","Dry Creek","DrCr4","C","black spruce","no","no",1.1,NA,NA,100,100,100,0,NA,"",""
"212","2024-08-06","Dry Creek","DrCr4","C","black spruce","no","no",0.6,NA,NA,100,100,100,0,NA,"",""
"213","2024-08-06","Dry Creek","DrCr4","C","black spruce","yes","no",1.9,NA,NA,75,75,25,0,NA,"",""
"214","2024-08-06","Dry Creek","DrCr4","C","black spruce","no","no",0.4,NA,NA,100,100,100,0,NA,"",""
"215","2024-08-06","Dry Creek","DrCr4","C","black spruce","no","no",1,NA,NA,100,100,100,0,NA,"",""
"216","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",5.5,NA,75,75,75,0,0,NA,"",""
"217","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",4.5,NA,75,75,75,25,0,NA,"",""
"218","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",1.2,NA,NA,100,100,100,0,NA,"",""
"219","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",3.9,NA,50,75,75,25,0,NA,"",""
"220","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",1.4,NA,100,100,100,50,0,NA,"",""
"221","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",1.6,NA,100,100,100,50,0,NA,"",""
"222","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",2.8,NA,100,75,75,25,0,NA,"",""
"223","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",NA,0.8,NA,100,100,100,0,NA,"",""
"224","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",0.9,NA,100,100,100,100,0,NA,"",""
"225","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",NA,1.4,NA,100,100,100,0,NA,"",""
"226","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",1.3,NA,NA,100,100,75,0,NA,"",""
"227","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",NA,2.3,NA,100,100,25,0,NA,"",""
"228","2024-08-05","Dry Creek","DrCr2","A","black spruce","yes","no",0.6,NA,NA,100,100,0,0,NA,"",""
