"","date","fire_scar","site","plot","location","green_moss","depth1","org_hit","org_hit_other","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","min_depth","m1_depth1","m1_depth2","m2_depth1","m2_depth_2","min_coregrab","mineral_notes","sample_photo","general_notes"
"236","2024-08-05","Dry Creek","DrCr1","C","3 m",0.1,20,"Mineral,Water","",73,"Frozen Ground",33,"Mineral,Water",4,5,NA,"yes","DrCr1C",21,22,10,10,10.5,10,"",NA,5,NA,5,NA,"Core","","","Hit water at 15"
"237","2024-08-05","Dry Creek","DrCr1","C","6 m",0,29,"Mineral","",68,"Frozen Ground",28,"Mineral,Water",14,16,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"238","2024-07-22","Hess Creek","HeCr2","B","3 m",NA,5,"Mineral","",39,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"239","2024-07-22","Hess Creek","HeCr2","B","6 m",NA,0.5,"Mineral","",28,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","Offset at 16.2 due to standing tree"
"240","2024-07-22","Hess Creek","HeCr2","B","9 m",NA,1,"Mineral","",43,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"241","2024-07-23","Hess Creek","HeCr5","A","3 m",NA,10,"Mineral","",92,"Frozen Ground",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"242","2024-07-23","Hess Creek","HeCr5","A","6 m",NA,21,"Mineral","",101,">100cm",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"243","2024-07-23","Hess Creek","HeCr5","A","9 m",NA,11,"Mineral","",92,"Frozen Ground",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"244","2024-07-18","Lost horse","LoHo5","C","3 m",NA,17,"Mineral,Rock","",89,"Rock",20.5,"Mineral",9,12.5,12,"yes","LoHo5C",17,16,10,10,11.5,11.5,"",NA,5,NA,NA,NA,"Core","","","4cm of rock/mineral/organic that was removed"
"245","2024-07-18","Lost horse","LoHo5","C","6 m",NA,10.5,"Mineral","",88,"Rock",15,"Rock",4.5,5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"246","2024-07-18","Lost horse","LoHo5","C","9 m",NA,20,"Mineral,Rock","",71,"Rock",13,"Mineral",14,7,5,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"247","2024-08-04","Munson Creek","MuCr4","A","3 m",1.5,4.5,"Mineral,Rock","",73,"Rock",8,"Mineral",5,6,5,"yes","MuCr4A",6,5.5,10,10,10.5,10.5,"",NA,5,NA,5,NA,"Core","","",""
