fire,site,plot,date,location,org_depth,org_hit,ar_sol_depth,ar_sol_hit,ar_height,thaw_d,thaw_hit
BitzshitiniCosnaLittle,47,C,7/15/2023,2.5 m,12,Mineral,12,Mineral,5,89,Frozen Ground
BitzshitiniCosnaLittle,48,A,7/15/2023,7.5 m,7,Mineral,7,Mineral,3.5,NA,
BitzshitiniCosnaLittle,48,A,7/15/2023,2.5 m,9,Mineral,11,Mineral,10.5,NA,
BitzshitiniCosnaLittle,48,B,7/15/2023,2.5 m,9.5,Mineral,7,Mineral,4,NA,
BitzshitiniCosnaLittle,48,B,7/15/2023,7.5 m,9,Mineral,9,Mineral,5,NA,
BitzshitiniCosnaLittle,48,C,7/15/2023,2.5 m,11,Mineral,7,Mineral,7.5,NA,
BitzshitiniCosnaLittle,48,C,7/15/2023,7.5 m,8,Mineral,10,Mineral,4.5,NA,
BitzshitiniCosnaLittle,49,A,7/15/2023,7.5 m,28,Mineral,29,Mineral,7.5,55,Frozen Ground
BitzshitiniCosnaLittle,49,A,7/15/2023,2.5 m,28,Mineral,21,Mineral,6,50,Frozen Ground
BitzshitiniCosnaLittle,49,B,7/15/2023,7.5 m,22,Mineral,32,Mineral,8,51,Frozen Ground
BitzshitiniCosnaLittle,49,B,7/15/2023,2.5 m,28,Mineral,24,Mineral,4.5,60,Frozen Ground
BitzshitiniCosnaLittle,49,C,7/15/2023,2.5 m,22.5,Mineral,25,Mineral,6,61,Frozen Ground
BitzshitiniCosnaLittle,49,C,7/15/2023,7.5 m,34,Mineral,29,Mineral,1.5,77,Frozen Ground
BitzshitiniWien,39,A,7/12/2023,7.5 m,22,Mineral,NA,,NA,61,Frozen Ground
BitzshitiniWien,39,A,7/12/2023,2.5 m,14,Mineral,NA,,NA,72,Frozen Ground
BitzshitiniWien,39,B,7/12/2023,7.5 m,20,Mineral,NA,,NA,51,Frozen Ground
BitzshitiniWien,39,B,7/12/2023,2.5 m,14,Mineral,NA,,NA,64,Frozen Ground
BitzshitiniWien,39,C,7/12/2023,2.5 m,11,Mineral,NA,,NA,56,Frozen Ground
BitzshitiniWien,39,C,7/12/2023,7.5 m,10,Mineral,NA,,NA,56,Frozen Ground
BitzshitiniWien,40,A,7/12/2023,7.5 m,31,Mineral,18,Mineral,14.5,44,Frozen Ground
BitzshitiniWien,40,A,7/12/2023,2.5 m,22,Mineral,27,Mineral,3.5,30,Frozen Ground
BitzshitiniWien,40,B,7/12/2023,7.5 m,8,Mineral,15,Mineral,8.5,51,Frozen Ground
BitzshitiniWien,40,B,7/12/2023,2.5 m,22,Mineral,18,Mineral,5.5,43,Frozen Ground
BitzshitiniWien,40,C,7/12/2023,2.5 m,11,Mineral,12,Mineral,3,52,Frozen Ground
BitzshitiniWien,40,C,7/12/2023,7.5 m,16,Mineral,13,Mineral,9.25,58,Frozen Ground
BitzshitiniWien,41,A,7/13/2023,2.5 m,15,Mineral,23,Mineral,8.5,41,Frozen Ground
BitzshitiniWien,41,A,7/13/2023,7.5 m,13,Mineral,14,Mineral,9,54,Frozen Ground
BitzshitiniWien,41,B,7/13/2023,7.5 m,17,Mineral,17,Mineral,9,34,Frozen Ground
BitzshitiniWien,41,B,7/13/2023,2.5 m,9,Mineral,15,Mineral,8,41,Frozen Ground
BitzshitiniWien,41,C,7/13/2023,7.5 m,16,Mineral,8,Mineral,5,60,Frozen Ground
BitzshitiniWien,41,C,7/13/2023,2.5 m,14,Mineral,17,Mineral,11.5,43,Frozen Ground
BitzshitiniWien,42,A,7/13/2023,7.5 m,19,Mineral,25,Mineral,4.5,67,Frozen Ground
BitzshitiniWien,42,A,7/13/2023,2.5 m,13,Mineral,21,Mineral,0.5,72,Frozen Ground
BitzshitiniWien,42,B,7/13/2023,2.5 m,18,Mineral,19,Mineral,1.75,57,Frozen Ground
BitzshitiniWien,42,B,7/13/2023,7.5 m,19,Mineral,25,Mineral,4.5,67,Frozen Ground
BitzshitiniWien,42,C,7/13/2023,2.5 m,24,Mineral,19,Mineral,2.5,62,Frozen Ground
BitzshitiniWien,42,C,7/13/2023,7.5 m,26,Mineral,25,Mineral,1.5,55,Frozen Ground
BitzshitiniWien,43,A,7/13/2023,2.5 m,14,Mineral,15,Mineral,0,69,Frozen Ground
BitzshitiniWien,43,A,7/13/2023,7.5 m,10,Mineral,13,Mineral,2.5,90,Frozen Ground
BitzshitiniWien,43,B,7/13/2023,2.5 m,10,Mineral,13,Mineral,3.25,NA,Frozen Ground
BitzshitiniWien,43,B,7/13/2023,7.5 m,9,Mineral,15,Mineral,1.5,76,Frozen Ground
BitzshitiniWien,43,C,7/13/2023,2.5 m,11,Mineral,13,Mineral,2.5,65,Frozen Ground
BitzshitiniWien,43,C,7/13/2023,7.5 m,15,Mineral,21,Mineral,3.5,63,Frozen Ground
Chitanana,29,A,7/8/2023,7.5 m,18,Mineral,18,Mineral,10.5,40,Frozen Ground
Chitanana,29,A,7/8/2023,2.5 m,24,Mineral,30,Mineral,8,39,Frozen Ground
Chitanana,29,B,7/8/2023,2.5 m,22,Mineral,25,Mineral,3.5,40,Frozen Ground
Chitanana,29,B,7/8/2023,7.5 m,22,Mineral,22,Mineral,4,48,Frozen Ground
Chitanana,29,C,7/8/2023,2.5 m,24,Mineral,24,Mineral,8.5,53,Frozen Ground
Chitanana,29,C,7/8/2023,7.5 m,17,Mineral,17,Mineral,7,70,Frozen Ground
Chitanana,30,A,7/9/2023,7.5 m,31,Mineral,31,Mineral,1.5,43,Frozen Ground
Chitanana,30,A,7/9/2023,2.5 m,26,Frozen Ground,25,Frozen Ground,3.5,28,Frozen Ground
Chitanana,30,B,7/9/2023,7.5 m,31,Mineral,31,Mineral,2.5,44,Frozen Ground
Chitanana,30,B,7/9/2023,2.5 m,27,Mineral,27,Mineral,3.5,37,Frozen Ground
Chitanana,30,C,7/9/2023,2.5 m,28,Mineral,35,Mineral,4.5,40,Frozen Ground
Chitanana,30,C,7/9/2023,7.5 m,40,Mineral,31,Mineral,4,53,Frozen Ground
Chitanana,31,A,7/9/2023,7.5 m,0,"Mineral,Water",0,Mineral,1,67,Frozen Ground
Chitanana,31,A,7/9/2023,2.5 m,17,Mineral,17,Mineral,9.5,60,Frozen Ground
Chitanana,31,B,7/9/2023,2.5 m,0,Mineral,NA,,NA,88,Frozen Ground
Chitanana,31,B,7/9/2023,7.5 m,2,Mineral,NA,,NA,72,Frozen Ground
Chitanana,31,C,7/9/2023,7.5 m,3,Mineral,0,Mineral,9.25,72,Frozen Ground
Chitanana,31,C,7/9/2023,2.5 m,0,Mineral,NA,,NA,NA,
Chitanana,32,A,7/9/2023,2.5 m,36,Frozen Ground,34,Frozen Ground,2.75,42,Frozen Ground
Chitanana,32,A,7/9/2023,7.5 m,34,Frozen Ground,29,Frozen Ground,5.5,34,Frozen Ground
Chitanana,32,B,7/9/2023,2.5 m,38.5,Frozen Ground,33,Frozen Ground,6,40,Frozen Ground
Chitanana,32,B,7/9/2023,7.5 m,27,Frozen Ground,39,Frozen Ground,0,27,Frozen Ground
Chitanana,32,C,7/9/2023,7.5 m,42,Frozen Ground,38,Frozen Ground,5.5,42,Frozen Ground
Chitanana,32,C,7/9/2023,2.5 m,22,Frozen Ground,20,Frozen Ground,2,43,Frozen Ground
Chitanana,33,A,7/9/2023,7.5 m,37,Frozen Ground,37,Frozen Ground,6,37,Frozen Ground
Chitanana,33,A,7/9/2023,2.5 m,25,Mineral,31,Frozen Ground,3,35,Frozen Ground
Chitanana,33,B,7/9/2023,2.5 m,32,Mineral,37,Frozen Ground,5.5,51,Frozen Ground
Chitanana,33,B,7/9/2023,7.5 m,37,Frozen Ground,37,Frozen Ground,7.5,37,Frozen Ground
Chitanana,33,C,7/9/2023,2.5 m,31,Frozen Ground,38,Frozen Ground,5.5,34,Frozen Ground
Chitanana,33,C,7/9/2023,7.5 m,38,Frozen Ground,28,Frozen Ground,7.5,54,Frozen Ground
ChitananaMooseheart,34,A,7/10/2023,7.5 m,25,Mineral,NA,,NA,50,Frozen Ground
ChitananaMooseheart,34,A,7/10/2023,2.5 m,32,Mineral,NA,,NA,51,Frozen Ground
ChitananaMooseheart,34,B,7/10/2023,2.5 m,32,Mineral,NA,,NA,55,Frozen Ground
ChitananaMooseheart,34,B,7/10/2023,7.5 m,32,Mineral,NA,,NA,54,Frozen Ground
ChitananaMooseheart,34,C,7/10/2023,7.5 m,46,Mineral,NA,,NA,66,Frozen Ground
ChitananaMooseheart,34,C,7/10/2023,2.5 m,34,Mineral,NA,,NA,67,Frozen Ground
ChitananaMooseheart,35,A,7/10/2023,2.5 m,24,Mineral,NA,,NA,78,Mineral
ChitananaMooseheart,35,A,7/10/2023,7.5 m,18,Mineral,NA,,NA,NA,
ChitananaMooseheart,35,B,7/10/2023,2.5 m,27,Mineral,NA,,NA,90,Frozen Ground
ChitananaMooseheart,35,B,7/10/2023,7.5 m,31,Mineral,NA,,NA,60,Frozen Ground
ChitananaMooseheart,35,C,7/10/2023,2.5 m,26,Mineral,NA,,NA,61,Frozen Ground
ChitananaMooseheart,35,C,7/10/2023,7.5 m,38,Mineral,NA,,NA,88,Frozen Ground
ChitananaMooseheart,36,A,7/10/2023,7.5 m,26,Mineral,NA,,NA,59,Frozen Ground
ChitananaMooseheart,36,A,7/10/2023,2.5 m,24,Mineral,NA,,NA,61,Frozen Ground
ChitananaMooseheart,36,B,7/10/2023,7.5 m,17,Mineral,NA,,NA,93,Frozen Ground
ChitananaMooseheart,36,B,7/10/2023,2.5 m,25,Mineral,NA,,NA,91,Frozen Ground
ChitananaMooseheart,36,C,7/10/2023,2.5 m,28,Mineral,NA,,NA,93,Frozen Ground
ChitananaMooseheart,36,C,7/10/2023,7.5 m,22,Mineral,NA,,NA,55,Frozen Ground
ChitananaMooseheart,37,A,7/12/2023,2.5 m,8,Mineral,9.5,Mineral,8.75,NA,
ChitananaMooseheart,37,A,7/12/2023,7.5 m,9,Mineral,11,Mineral,10.5,NA,
ChitananaMooseheart,37,B,7/12/2023,7.5 m,9,Mineral,10,Mineral,11,NA,
ChitananaMooseheart,37,B,7/12/2023,2.5 m,10,Mineral,8.5,Mineral,10,NA,
ChitananaMooseheart,37,C,7/12/2023,2.5 m,18,Mineral,11,Mineral,14.5,NA,
ChitananaMooseheart,37,C,7/12/2023,7.5 m,13,Mineral,16,Mineral,11.75,NA,
ChitananaMooseheart,38,A,7/12/2023,2.5 m,22,Mineral,3,Mineral,1.25,51,Frozen Ground
ChitananaMooseheart,38,A,7/12/2023,7.5 m,3,Mineral,8,Mineral,8.75,NA,
ChitananaMooseheart,38,B,7/12/2023,7.5 m,2,Mineral,7,Mineral,17,97,Frozen Ground
ChitananaMooseheart,38,B,7/12/2023,2.5 m,8,Mineral,8,Mineral,8.5,NA,
ChitananaMooseheart,38,C,7/12/2023,2.5 m,16.5,Mineral,8,Mineral,4.5,80,Frozen Ground
ChitananaMooseheart,38,C,7/12/2023,7.5 m,27,Mineral,NA,,NA,33,Frozen Ground
Douglas,14,A,6/26/2023,7.5 m,4,Mineral,4,Mineral,7.75,74,Frozen Ground
Douglas,14,A,6/26/2023,2.5 m,13,Mineral,16,Mineral,10,56,Frozen Ground
Douglas,14,B,6/26/2023,2.5 m,27,Mineral,10,Mineral,15.5,NA,Rock
Douglas,14,B,6/26/2023,7.5 m,20,Mineral,11,Mineral,4,20,Frozen Ground
Douglas,14,C,6/26/2023,7.5 m,38,Mineral,19,Water,15,38,Frozen Ground
Douglas,14,C,6/26/2023,2.5 m,37,Mineral,23.5,Mineral,18,36,Frozen Ground
Douglas,15,A,6/26/2023,2.5 m,23,Mineral,21,Frozen Ground,9.5,23,Frozen Ground
Douglas,15,A,6/26/2023,7.5 m,28,Frozen Ground,32,Frozen Ground,4.25,28,Frozen Ground
Douglas,15,B,6/26/2023,2.5 m,26,Frozen Ground,22,Frozen Ground,4,30,Frozen Ground
Douglas,15,B,6/26/2023,7.5 m,26,Frozen Ground,33,Frozen Ground,8,26,Frozen Ground
Douglas,15,C,6/26/2023,7.5 m,28,Frozen Ground,29,Frozen Ground,8,27,Frozen Ground
Douglas,15,C,6/26/2023,2.5 m,26,Frozen Ground,35,Frozen Ground,14.5,27,Frozen Ground
Douglas,16,A,6/27/2023,2.5 m,20,Frozen Ground,29,Frozen Ground,5.5,20,Frozen Ground
Douglas,16,A,6/27/2023,7.5 m,82,Frozen Ground,82,Frozen Ground,0,82,Frozen Ground
