date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/6/2023,DryMooseheart,20,A,unknown conifer,no,yes,no,NA,4.8,NA,100,100,100,25,
7/6/2023,DryMooseheart,20,A,unknown conifer,yes,yes,no,2.9,NA,NA,100,100,100,50,
7/6/2023,DryMooseheart,20,B,birch,yes,yes,no,NA,3.1,NA,100,100,100,25,
7/6/2023,DryMooseheart,20,B,birch,yes,yes,no,NA,2.2,NA,100,100,100,25,
7/6/2023,DryMooseheart,20,B,black spruce,yes,yes,no,3.1,NA,NA,100,100,100,25,
7/6/2023,DryMooseheart,20,B,black spruce,yes,yes,no,4.5,NA,NA,100,100,100,0,
7/6/2023,DryMooseheart,20,C,black spruce,yes,yes,no,2.3,NA,NA,100,100,100,25,
7/7/2023,DragonMooseheart,25,A,white spruce,yes,yes,no,NA,1.2,NA,100,100,75,NA,
7/7/2023,DragonMooseheart,25,B,birch,yes,yes,no,7.8,NA,NA,100,100,100,75,
7/7/2023,DragonMooseheart,25,B,black spruce,yes,yes,no,8.7,NA,NA,100,100,100,75,
7/7/2023,DragonMooseheart,25,C,unknown,yes,yes,no,NA,4.3,NA,100,100,100,100,
7/7/2023,DragonMooseheart,25,C,birch,yes,yes,no,NA,1.2,NA,100,100,100,100,
7/7/2023,DryMooseheart,22,A,unknown deciduous,no,yes,no,NA,3.2,NA,100,100,100,75,
7/7/2023,DryMooseheart,22,A,unknown deciduous,no,yes,no,NA,4.2,NA,100,100,100,25,
7/7/2023,DryMooseheart,23,B,black spruce,yes,yes,no,3,NA,NA,0,0,0,NA,
7/7/2023,DryMooseheart,23,C,black spruce,yes,yes,no,6,NA,NA,100,100,100,NA,
7/8/2023,Chitanana,29,B,black spruce,yes,yes,no,3.3,NA,NA,100,100,100,25,
7/8/2023,Chitanana,29,B,black spruce,yes,yes,no,3.7,NA,NA,100,100,100,25,
7/8/2023,Chitanana,29,B,unknown conifer,yes,yes,no,NA,6,NA,100,100,100,75,
7/8/2023,Chitanana,29,C,black spruce,yes,yes,no,1.6,NA,NA,100,100,100,75,
7/8/2023,Chitanana,29,C,black spruce,no,yes,no,3,NA,NA,100,100,100,25,
7/8/2023,Chitanana,29,C,black spruce,yes,yes,no,3.9,NA,NA,100,100,100,25,
7/8/2023,Chitanana,29,C,black spruce,yes,yes,no,NA,3.2,NA,100,100,100,75,
7/9/2023,Chitanana,31,B,birch,yes,yes,no,19.3,NA,NA,0,0,0,NA,
7/9/2023,Chitanana,31,B,black spruce,yes,yes,no,9.4,NA,NA,100,100,100,50,
7/9/2023,Chitanana,31,B,unknown deciduous,no,yes,no,6,NA,NA,75,75,25,NA,
7/10/2023,ChitananaMooseheart,35,A,larch,no,yes,no,NA,1.3,NA,100,50,25,NA,
7/10/2023,ChitananaMooseheart,35,B,unknown,no,yes,no,NA,6.5,NA,100,100,100,25,
7/10/2023,ChitananaMooseheart,35,C,larch,no,yes,no,NA,10.6,NA,100,100,100,25,
7/10/2023,ChitananaMooseheart,36,A,unknown conifer,no,yes,no,6.7,NA,NA,100,100,100,25,
7/10/2023,ChitananaMooseheart,36,C,unknown,yes,yes,no,4.6,NA,NA,100,100,100,NA,
7/12/2023,ChitananaMooseheart,38,A,aspen,yes,yes,no,9.4,NA,NA,100,100,100,75,
7/12/2023,ChitananaMooseheart,38,C,black spruce,no,yes,no,7,NA,NA,100,100,100,25,
7/13/2023,BitzshitiniWien,42,B,black spruce,yes,yes,no,1.7,NA,NA,100,100,100,25,
7/13/2023,BitzshitiniWien,42,B,black spruce,no,yes,no,NA,3.1,NA,100,100,100,50,
7/13/2023,BitzshitiniWien,42,B,black spruce,yes,yes,no,6.2,NA,NA,100,100,100,25,
7/13/2023,BitzshitiniWien,42,B,unknown deciduous,no,yes,no,4.1,NA,NA,100,100,100,25,
7/13/2023,BitzshitiniWien,43,A,black spruce,yes,yes,no,1.3,NA,NA,0,0,0,NA,
7/13/2023,BitzshitiniWien,43,A,black spruce,yes,yes,no,NA,2.6,NA,100,100,100,NA,
7/13/2023,BitzshitiniWien,43,A,black spruce,no,yes,no,NA,2.5,NA,100,100,100,25,
7/13/2023,BitzshitiniWien,43,B,black spruce,yes,yes,no,NA,2,NA,25,0,0,NA,
7/13/2023,BitzshitiniWien,43,C,black spruce,yes,yes,no,NA,1.6,NA,100,100,100,50,
7/13/2023,BitzshitiniWien,43,C,black spruce,yes,yes,no,NA,2.5,NA,100,100,100,100,
7/13/2023,BitzshitiniWien,43,C,black spruce,yes,yes,no,NA,2.5,NA,100,100,100,50,
7/13/2023,BitzshitiniWien,43,A,black spruce,yes,yes,no,NA,0.6,NA,25,25,25,NA,
7/13/2023,BitzshitiniWien,43,B,black spruce,yes,yes,no,NA,1.8,NA,100,100,100,50,
7/14/2023,BitzshitiniCosnaLittle,44,B,black spruce,yes,yes,no,NA,0.7,NA,100,100,100,25,
7/14/2023,BitzshitiniCosnaLittle,44,B,black spruce,yes,yes,no,NA,1.1,NA,100,100,100,25,
7/14/2023,BitzshitiniCosnaLittle,45,A,black spruce,yes,yes,no,NA,2.3,NA,100,100,100,25,
7/14/2023,BitzshitiniCosnaLittle,45,A,black spruce,yes,yes,no,NA,4,NA,100,100,100,100,
7/14/2023,BitzshitiniCosnaLittle,45,A,black spruce,yes,yes,no,NA,1.8,NA,100,100,100,50,
7/14/2023,BitzshitiniCosnaLittle,45,A,black spruce,yes,yes,no,NA,1.4,NA,100,100,100,75,
7/14/2023,BitzshitiniCosnaLittle,45,C,black spruce,yes,yes,no,NA,2.7,NA,100,100,75,NA,
7/14/2023,BitzshitiniCosnaLittle,46,A,black spruce,yes,yes,no,NA,1.8,NA,100,100,100,NA,
