_record_id,_title,_server_updated_at,_updated_by,_geometry,date,fire_scar,site,plot,disk_label,disk_species,disk_sample_diameter,disk_height,disk_notes
c954275f-ce53-4b12-9fd5-098894479494,"YUCR2, B",2025-08-02 06:00:07 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR2,B,B6,black spruce,12.1,3,
6abb3ae9-d6f8-4457-aa78-c9f2551c37c3,"YUCR2, C",2025-08-02 06:00:18 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR2,C,C6,black spruce,7.9,3,
f35f6e15-7f70-4635-aae6-bc8a7fde54ef,"YUCR3, A",2025-08-02 06:00:20 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR3,A,A6,black spruce,7.1,3,
8434aade-8ac3-472e-b0b8-465b3e5bc16f,"YUCR3, B",2025-08-02 06:00:21 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR3,B,B6,black spruce,7.3,5,
601065cf-e320-42c6-b632-550d7e3526e7,"YUCR3, C",2025-08-02 06:00:21 UTC,Xanthe Walker,,2025-08-01,Yukon Creek,YUCR3,C,C6,black spruce,8.2,4,
4cfea1df-3b79-4f4e-b16b-fff84ccd46ff,"YUCR4, A",2025-08-05 06:06:30 UTC,Xanthe Walker,,2025-08-04,Yukon Creek,YUCR4,A,A6,black spruce,19.6,1,
82ecf091-5104-41ea-8a4b-9c30908b422d,"YUCR4, B",2025-08-05 06:06:30 UTC,Xanthe Walker,,2025-08-04,Yukon Creek,YUCR4,B,B6,black spruce,10.6,1,
dbaad8bb-6487-4557-a1fd-64a2ce840876,"YUCR4, C",2025-08-05 06:06:31 UTC,Xanthe Walker,,2025-08-04,Yukon Creek,YUCR4,C,C6,black spruce,12.8,4,
4269eef1-d8d9-4442-9628-b5a2296b16ff,"YUCR5, A",2025-08-06 00:42:24 UTC,Xanthe Walker,,2025-08-05,Yukon Creek,YUCR5,A,A6,black spruce,12.4,6,
ead64006-3b28-479c-8ab1-064fc9d108e8,"YUCR5, B",2025-08-06 00:42:24 UTC,Xanthe Walker,,2025-08-05,Yukon Creek,YUCR5,B,B6,black spruce,11.1,1,
f8f3b50d-9d69-4ee6-b460-e26872882c2e,"YUCR5, C",2025-08-06 00:42:25 UTC,Xanthe Walker,,2025-08-05,Yukon Creek,YUCR5,C,C6,black spruce,9.5,5,
