"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"294","CCE","2024-08-01","Munson Creek","MuCr2","C",0,22.5,"Rock",65,"Rock",5.5,"Rock",32,27,NA,"yes","MuCr2C",22,24,10.5,11,13,11,"Sample taken from a burned sphagnum hummock. Mosaics of hummocks across hillside",4,0,"Grab","Too rocky to sample mineral. Removed 12 cm of rock and took grab sample of about 4 cm. Contains charcoal! In M1 bag. ","Sample taken on sphagnum hummock. No nearby trees also in hummock, tree AR measured at was burned almost to rock. ","5da068de-cd63-4382-8bb8-7f349ed343d4"
"295","CCE","2024-08-01","Munson Creek","MuCr2","C",0,19,"Rock",24,"Rock",8,"Rock",22,21,23,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"296","CCE","2024-08-05","Dry Creek","DrCr2","A",0.1,31,"Mineral,Water",101,">100cm",24,"Mineral,Water",2.5,8,NA,"yes","DrCr2A",32,31,11,11,10,10,"",5,5,"Core","","",""
"297","CCE","2024-08-05","Dry Creek","DrCr2","A",0,33,"Mineral",98,"Frozen Ground",31,"Mineral,Water",6,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"298","CCE","2024-07-15","Lost Horse","LoHo1","B",NA,1,"Mineral",16,"Rock",2,"Mineral",24,25,13,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"299","CCE","2024-07-15","Lost Horse","LoHo1","B",NA,16.5,"Mineral",53,"Rock",1,"Mineral",18,17,11,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"300","CCE","2024-07-15","Lost Horse","LoHo1","B",NA,7.5,"Rock",55,"Rock",0.5,"Mineral",13,17,11,"yes","LoHo1B",7.5,8,10,10,10.5,12,"",5,5,"Core","Crumbly","",""
"301","CCE","2024-07-30","Nugget Creek","NuCr1","A",NA,5.5,"Mineral",47,"Rock",4.5,"Mineral",14,19,15,"yes","NuCr1A",7,5,8.5,9,8,8,"",5,5,"Core","Top 2 cm mineral mixed with organic but clearly mineral","",""
"302","CCE","2024-07-30","Nugget Creek","NuCr1","A",NA,3.5,"Mineral",51,"Rock",3,"Mineral",18,12,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"303","CCE","2024-08-03","Teklanika","Tekl1","B",0,14,"Mineral,Rock",32,"Rock",15.5,"Mineral,Rock",3.5,3,2,"yes","Tekl1B",14.5,14.5,10,10,10,10,"",5,5,"Core","Measured volumetrically but very rocky, so not totally confident about volume. ","",""
